ID	char	pua	romanized	symbol
RJ-E051	詺	U+10E051		
RJ-E052	谼	U+10E052		
RJ-E053	豋	U+10E053		
RJ-E054	豊	U+10E054		
RJ-E055	豥	U+10E055		
RJ-E056	豤	U+10E056		
RJ-E057	豦	U+10E057		
RJ-E058	貆	U+10E058		
RJ-E059	貄	U+10E059		
RJ-E05B	賌	U+10E05B		
RJ-E05C	赨	U+10E05C		
RJ-E05D	赩	U+10E05D		
RJ-E05E	趑	U+10E05E		
RJ-E05F	趌	U+10E05F		
RJ-E060	趎	U+10E060		
RJ-E061	趏	U+10E061		
RJ-E062	趍	U+10E062		
RJ-E063	趓	U+10E063		
RJ-E064	趔	U+10E064		
RJ-E065	趐	U+10E065		
RJ-E066	趒	U+10E066		
RJ-E067	跰	U+10E067		
RJ-E068	跠	U+10E068		
RJ-E069	跬	U+10E069		
RJ-E06A	跱	U+10E06A		
RJ-E06B	跮	U+10E06B		
RJ-E06C	跐	U+10E06C		
RJ-E06D	跩	U+10E06D		
RJ-E06E	跣	U+10E06E		
RJ-E06F	跢	U+10E06F		
SD-A440	一	U+104440	ka	
SD-A441	乙	U+104441	kā	
SD-A442	丁	U+104442	ki	
SD-A443	七	U+104443	kī	
SD-A444	乃	U+104444	ku	
SD-A445	九	U+104445	kū	
SD-A446	了	U+104446	ke	
SD-A447	二	U+104447	kai	
SD-A448	人	U+104448	ko	
SD-A449	儿	U+104449	kau	
SD-A44A	入	U+10444A	kaṃ	
SD-A44B	八	U+10444B	kaḥ	
SD-A44C	几	U+10444C	kha	
SD-A44D	刀	U+10444D	khā	
SD-A44E	刁	U+10444E	khi	
SD-A44F	力	U+10444F	khī	
SD-A452	卜	U+104452	khe	
SD-A454	三	U+104454	kho	
SD-A456	丈	U+104456	khaṃ	
SD-A457	上	U+104457	khaḥ	
SD-A458	丫	U+104458	ga	
SD-A459	丸	U+104459	gā	
SD-A45A	凡	U+10445A	gi	
SD-A45C	么	U+10445C	gu	
SD-A45D	也	U+10445D	gū	
SD-A45E	乞	U+10445E	ge	
SD-A45F	于	U+10445F	gai	
SD-A460	亡	U+104460	go	
SD-A461	兀	U+104461	gau	
SD-A462	刃	U+104462	gaṃ	
SD-A463	勺	U+104463	gaḥ	
SD-A464	千	U+104464	gha	
SD-A465	叉	U+104465	ghā	
SD-A466	口	U+104466	ghi	
SD-A467	土	U+104467	ghī	
SD-A46A	大	U+10446A	ghe	
SD-A46C	子	U+10446C	gho	
SD-A46E	孓	U+10446E	ghaṃ	
SD-A46F	寸	U+10446F	ghaḥ	
SD-A470	小	U+104470	ṅa	
SD-A471	尢	U+104471	ṅā	
SD-A473	山	U+104473	ṅī	
SD-A47A	干	U+10447A	ṅaṃ	
SD-A47B	廾	U+10447B	ṅaḥ	
SD-A47C	弋	U+10447C	ca	
SD-A47D	弓	U+10447D	cā	
SD-A47E	才	U+10447E	ci	
SD-A4A1	丑	U+1044A1	cī	
SD-A4A2	丐	U+1044A2	cu	
SD-A4A4	中	U+1044A4	ce	
SD-A4A5	丰	U+1044A5	cai	
SD-A4A6	丹	U+1044A6	co	
SD-A4A7	之	U+1044A7	cau	
SD-A4A8	尹	U+1044A8	caṃ	
SD-A4A9	予	U+1044A9	caḥ	
SD-A4AA	云	U+1044AA	cha	
SD-A4B6	介	U+1044B6	ja	
SD-A4B7	仄	U+1044B7	jā	
SD-A4B8	元	U+1044B8	ji	
SD-A4B9	允	U+1044B9	jī	
SD-A4BA	內	U+1044BA	ju	
SD-A4BC	兮	U+1044BC	je	
SD-A4BE	冗	U+1044BE	jo	
SD-A4C0	分	U+1044C0	jaṃ	
SD-A4C1	切	U+1044C1	jaḥ	
SD-A4C2	刈	U+1044C2	jha	
SD-A4C3	勻	U+1044C3	jhā	
SD-A4C4	勾	U+1044C4	jhi	
SD-A4C8	午	U+1044C8	jhe	
SD-A4CC	厄	U+1044CC	jhaṃ	
SD-A4CD	友	U+1044CD	jhaḥ	
SD-A4CE	及	U+1044CE	ña	
SD-A4CF	反	U+1044CF	ñā	
SD-A4D8	尺	U+1044D8	ñaṃ	
SD-A4D9	屯	U+1044D9	ñaḥ	
SD-A4DA	巴	U+1044DA	ṭa	
SD-A4DB	幻	U+1044DB	ṭā	
SD-A4DC	廿	U+1044DC	ṭi	
SD-A4DD	弔	U+1044DD	ṭī	
SD-A4DE	引	U+1044DE	ṭu	
SD-A4DF	心	U+1044DF	ṭū	
SD-A4E0	戈	U+1044E0	ṭe	
SD-A4E1	戶	U+1044E1	ṭai	
SD-A4E2	手	U+1044E2	ṭo	
SD-A4E3	扎	U+1044E3	ṭau	
SD-A4E4	支	U+1044E4	ṭaṃ	
SD-A4E5	文	U+1044E5	ṭaḥ	
SD-A4E6	斗	U+1044E6	ṭha	
SD-A4E7	斤	U+1044E7	ṭhā	
SD-A4E8	方	U+1044E8	ṭhi	
SD-A4EA	曰	U+1044EA	ṭhu	
