ID	unicode	uni_char	norm_unicode	norm_uni_char	composition	norm_big5_char	moe_variant_id
CB16832					[宋-木+(癸-天+言)]		
CB16833					[怡-台+(玄-ㄙ+ㄥ)]		
CB16834	22471	𢑱			[((巨-匚)@一)/粉/大]	彝	a01266-024
CB16835					[(文*民)/(〦-一+貝)]		
CB16836					[閫-木+(夭-(乂-(必-心)))]		
CB16837					[苨-匕+(司-(一/一/口)+土)]		
CB16838					[(虺-兀+(完-、))-虫+((厂@(既-旡))/寸)]		
CB16839					[〦/柔]		
CB16840	57EA	埪			[土*空]		c01684
CB16841	21E88	𡺈			[山*音]		
CB16842	5E35	帵			[巾*宛]		c03111
CB16843					[弓*爪]	弧	a01253-001
CB16844	3B28	㬨			[日*赫]		
CB16845					[日*堇]		
CB16846	3C59	㱙			[歹*ㄎ]		a01859-003,c00612-007,c05783
CB16847	23A58	𣩘			[歹*專]		
CB16848					[王*而]		
CB16849	3EE6	㻦			[王*禺]		
CB16850	254C2	𥓂			[石*含]		
CB16851					[示*象]		
CB16852	79D7	秗			[禾*夭]	飫	b05721-001
CB16853					[穴*辱]		
CB16854	24F64	𤽤			[此/白]		
CB16855					[舟*司]		
CB16856	447E	䑾			[舟*隻]		
CB16857	8678	虸			[虫*子]		c12200
CB16858					[虫*暗]		
CB16859					[免*頁]		
CB16860	7DD0	緐			[每*系]		a03175-002_1
CB16861	89F9	觹			[角*雋]	觿	b04631-005
CB16862	27AA3	𧪣			[言*烝]		c13223
CB16863	474F	䝏			[豕*婁]		c13472
CB16864					[貝*少]		
CB16865	3BE4	㯤			[來*來]		a01955-017_3
CB16866					[金*犬]		
CB16867					[則/虫]		
CB16868					[辱*亢]		
CB16869			4D25	䴥	[鹿/加]	麚	b06226-001
CB16870	22558	𢕘			[彳*崔]		c03573
CB16871					[鬳*虫]		
CB16872					[譋-月+?]		
CB16873	201D7	𠇗			[仁-二+瓜]		n00476
CB16874					[日/〦/水]		
CB16875	22CAA	𢲪			[打-丁+埋]		
CB16876					[打-丁+聳]		
CB16877					[酉-二+干]		
CB16878					[怡-台+屈]		
CB16879	22833	𢠳			[怡-台+敝]	憋	b01178-001
CB16880					[怡-台+雇]		
CB16881	2294F	𢥏			[怡-台+營]		c04019
CB16882	49C5	䧅			[阿-可+夷]		c15409
CB16883					[栗-木+工]		
CB16884	27EA2	𧺢			[起-巳+殳]		c13695
CB16885					[庸-用+巾]		
CB16886	88A3	袣			[袖-由+世]		c12637
CB16887					[袖-由+呆]		
CB16888	9D55	鵕			[皴-皮+鳥]	鵔	b06091-002
CB16889					[惹-右+壬]		
CB16890	27FE7	𧿧			[跳-兆+斤]	跅	b04883-002
CB16891					[澈-育+素]		
CB16892					[噗-口+石]		
CB16893	21874	𡡴			[樊-大+女]		
CB16894					[聯-耳+糸]		
CB16895					[瞿-隹+瓦]	甖	b02711-004
CB16896					[顥-京+隹]		
CB16897	37ED	㟭			[崏-氏+民]	岷	a01106-005
CB16898					[掐-臼+也]		
CB16899					[槤-車+康]		
CB16900					[櫸-與+里]		
CB16901					[(土*刀)/言]		
CB16902					[火*(久/采)]		
CB16903	9B1B	鬛			[鬣-(巢-果)]	鬣	b05915-006
CB16904	56F6	囶			[囗@(儿/土)]	國	a00734-013
CB16905					[鎣-(冗-几)]		
CB16906			9EC1	黁	[(序-予+林)/香]		
CB16907					[(卬-ㄗ)*〡*可]		
CB16908					[卄/(澄-豆+示)]		
CB16909					[棣-木+(上/矢)]		
CB16910					[((素-糸)*力)/石]		
CB16911					[鐮-兼+(畏-田+卄)]		
CB16912			7742	睂	[((︿/︿)*〡)/(厂@目)]	眉	
CB16913					[橎-釆+(十-〡+(巢-果))]	椔	b01744-001
CB16914					[涯-圭+((麻-(序-予))/心)]		
CB16915					[蠓-卄+((並-(前-刖))-一)]	蠓	b04427-001
CB16916					[狂-王+(廿/(土*自*土)/ㄆ)]		
CB16917	9402	鐂			[鐳-雨+(一/(匚*〡*〡*(巨-匚)))]		b05423-002,a00376-054
CB16918					[□@豈]		
CB16919	577E	坾			[土*宁]		c01628
CB16920	5A12	娒			[女*每]		a00162-010,a00905-001
CB16921					[孑*希]		
CB16922	5D21	崡			[山*函]		c02813
CB16923					[月*止]		
CB16924	248F3	𤣳			[王*千]		
CB16925	2519C	𥆜			[目*往]		c08357
CB16926					[示*夬]		
CB16927	631B	挛			[亦/手]		
CB16928	683E	栾			[亦/木]	欒	b01907-002
CB16929	2602F	𦀯			[糸*局]		
CB16930	27D95	𧶕			[貝*我]		
CB16931	2A295	𪊕			[鹿/比]		c17868
CB16932					[彳*十]		
CB16933	5F7A	彺			[彳*王]		c03498
CB16934					[彳*坒]		
CB16936	8CAE	貮			[武-止+貝]	貳	a03940-007
