ID	unicode	uni_char	norm_unicode	norm_uni_char	composition	norm_big5_char	moe_variant_id
CB00001	6B35	欵			[肄-聿+欠]	款	a02056-002
CB00002	9834	頴			[(匕/示)*頁]	穎	a02945-001
CB00003	2E5FF	𮗿			[(工*刀)/言]	辯	a04108-020
CB00004	982E	頮			[(水/廾)*頁]	沬	b02050-004
CB00005	2E858	𮡘			[(牙*ㄉ)/里]		
CB00006	249B2	𤦲			[(王*巨)/木]	璩	a02603-001
CB00007	6133	愳			[(目*目)/心]	懼	a01462-002
CB00008	53DC	叜			[(宋-木)/火/又]	叟	a00477-006
CB00009			21EB2	𡺲	[阿-可+(山/(峻-山))]	峻	
CB00010	65B5	斵			[(留-田+亞)*斤]	斲	b01500-018
CB00011					[(索-糸)/石/木]		
CB00012	3ABA	㪺			[(爽-(爻*爻)+(目*目))*斗]		c04728-001
CB00013	6164	慤			[(殼-一)/心]	愨	b01162-001
CB00014	246D3	𤛓			[(殼-一)/牛]		
CB00015	2A131	𪄱			[(嫡-女)*鳥]		c17734
CB00017	5350	卐			[?卍]		b00273-001
CB00018	5C05	尅			[兙-十+寸]	剋	a00357-003
CB00019	2A654	𪙔			[〦/(刀*ㄚ*(留-刀-田))/齒]		
CB00020	5F03	弃			[〦/弁]	棄	a01944-003
CB00021					[卄/(仁-二+(公/几))]		c11713-001
CB00022					[卄/(束*束)]	蕀	b04065-002
CB00023	8289	芉			[卄/干]		a02927-002_1,a03215-006,c11389,a03217-010_1
CB00024	8471	葱			[卄/匆/心]	蔥	a03559-001
CB00025	82FD	苽			[卄/瓜]		a03508-003
CB00026	82F7	苷			[卄/甘]		c11435
CB00027	8385	莅			[卄/位]	蒞	a03538-003
CB00028	8382	莂			[卄/別]		c11547-001
CB00029	26C55	𦱕			[卄/呵]		c11860-001
CB00030	8420	萠			[卄/朋]	萌	a03509-005
CB00031	83D3	菓			[卄/果]	果	a01876-001
CB00032	8488	蒈			[卄/皆]		c11705
CB00033	84DE	蓞			[卄/舀]	萏	
CB00034	84AD	蒭			[卄/芻]	芻	a03442-002
CB00035	8597	薗			[卄/園]	園	a00736-007
CB00036	27090	𧂐			[卄/積]		c12069-001
CB00037	26FC6	𦿆			[卄/碭]		c11994-001
CB00038	5E00	帀			[一/巾]	匝	a00418-001
CB00039	88A0	袠			[〦/失/(衣-〦)]	袟	b04486-002
CB00040	4E98	亘			[一/旦]		a00055-001
CB00041	9CF0	鳰			[入*鳥]		a04729-012
CB00042			517E	兾	[八/異]	冀	a00295-001
CB00043	29454	𩑔			[乞*頁]		c16064
CB00044	459F	䖟			[亡/虫]	虻	b04213-001
CB00045	20BD7	𠯗			[口*(一/巾)]	咂	b00299-001
CB00046	5637	嘷			[口*(自/(犀-尸-牛)/十)]	嗥	a00660-002
CB00047					[口*(隹/乃)]		c05220-006
CB00048	53F6	叶			[口*十]	協	a03525-008 ,a00438-003
CB00049	5414	吔			[口*也]		n00426
CB00050	3567	㕧			[口*尸]		c01004
CB00051	541A	吚			[口*尹]		c01004-001
CB00052	5432	吲			[口*引]		a00572-003,c03417-001
CB00053	5423	吣			[口*心]	唚	c03684-001
CB00054	544C	呌			[口*斗]	叫	a00491-004
CB00055	356E	㕮			[口*父]		c01047
CB00056	5483	咃			[口*他]		c01085
CB00057	546A	呪			[口*兄]	咒	a00550-001
CB00058	545E	呞			[口*司]	齝	b06313-001
CB00059	549C	咜			[口*它]		
CB00060	2D1D3	𭇓			[口*斥]		
CB00061	548F	咏			[口*永]	詠	a03803-001
CB00062	54A4	咤			[口*宅]		a03814-002
CB00063	20CBF	𠲿			[口*束]		c01105-001
CB00064	555D	啝			[口*和]		c01090-002
CB00065	556B	啫			[口*者]	嗜	a00650-007
CB00066	35CC	㗌			[口*室]		b00313-002
CB00067	20E3B	𠸻			[口*建]		c01274-001
CB00068	55B0	喰			[口*食]	飧	a04583-007
CB00069	35DA	㗚			[口*栗]		c01343
CB00070	20E95	𠺕			[口*留]		
CB00071			55DE	嗞	[口*茲]		c01269-001
CB00072	5607	嘇			[口*參]		c01397
CB00073	560A	嘊			[口*崖]	啀	c01226-002
CB00074	20F1D	𠼝			[口*梨]		
CB00075	224AF	𢒯			[口*(彪-儿+巾)]		c03490-001
CB00076	564D	噍			[口*焦]		a00715-001,b00439
CB00077	5654	噔			[口*登]		c01419-001
CB00078	564F	噏			[口*翕]		a02063-002
CB00079	3601	㘁			[口*睪]		c01460
CB00080	21014	𡀔			[口*路]		
CB00081	3605	㘅			[口*銜]	銜	a04296-001
CB00082	56A0	嚠			[口*劉]	瀏	a02369-001
CB00083	210A0	𡂠			[口*蔡]		c01398-001
CB00084	21107	𡄇			[口*磬]		
CB00085	56A9	嚩			[口*縛]		c01528-001
CB00086	21197	𡆗			[口*邏]		
CB00087					[口*呰]		
CB00088	35C1	㗁			[口*咢]	齶	b06324-001
CB00089	55C1	嗁			[口*虒]	啼	a00623-002
CB00090	20DD0	𠷐			[口*恒]		
CB00092	213B0	𡎰			[土*(尸@辛)]	墀	a00811-001
CB00093	585C	塜			[土*(蒙-卄)]		a00797-004,c01804-001
CB00094	5737	圷			[土*下]		
CB00095	5742	坂			[土*反]	阪	a04406-001_1
CB00096	24B2A	𤬪			[土*瓦]		b02692-001
CB00097	5813	堓			[土*岸]	岸	a01108-004
CB00098	21394	𡎔			[土*屋]		
CB00099	5850	塐			[土*素]	塑	a00794-001
CB00100	5878	塸			[土*區]		c01793
CB00101	58DC	壜			[土*曇]	罈	a03200-003
CB00102	58E0	壠			[土*龍]	壟	a00827-006
CB00103	218F6	𡣶			[女*(替-曰+貝)]		c02425-001
CB00104			5AD3	嫓	[女*((奐-大)/比)]	媲	
CB00105	59B7	妷			[女*失]		a00921-001,c00722-001
CB00106	59C9	姉			[女*市]	姊	a00910-001
CB00107	59AC	妬			[女*石]	妒	a00888-001
CB00108	59DF	姟			[女*亥]		a00995-004_1
CB00109	59F9	姹			[女*宅]	奼	b00620-002
CB00110	5B7E	孾			[孑*嬰]	嬰	a00977-002
CB00111	5C1B	尛			[小/(小*小)]	麼	a04765-001
CB00112	21C31	𡰱			[尸@工]	尼	a01078-003
CB00113	5C53	屓			[尸@貝]		b00778-001
CB00114	5D15	崕			[山*(崖-山)]	崖	a01126-002
CB00115	37EA	㟪			[山*畏]		b00852-002
CB00116	5D60	嵠			[山*奚]	谿	a03904-001
CB00117	21F0F	𡼏			[山*間]	澗	a02340-001
CB00118	21EB2	𡺲			[山/(阿-可+(峻-山))]	峻	a01116-047
CB00119	5D75	嵵			[山/時]		
CB00120	21EEC	𡻬			[山/族]		c02914
CB00121	21EBF	𡺿			[山/陵]		
CB00122	5DB6	嶶			[山/微]		
CB00123	5CEF	峯			[山/夆]	峰	a01119-002
CB00124	5E56	幖			[巾*票]		c03167-001
CB00125	4FE3	俣			[仁-二+(口/天)]	俁	b00078-001
CB00126	4FAB	侫			[仁-二+妄]	佞	a00108-003
CB00127	503F	倿			[仁-二+妾]	佞	a00108-002
CB00128	3466	㑦			[仁-二+戾]		c00195
CB00129	3465	㑥			[仁-二+易]		a01780-001
CB00130	5058	偘			[仁-二+品]		a00139-002,a00262-008_1
CB00131	5071	偱			[仁-二+盾]		a01297-001
CB00132	2CFC6	𬿆			[仁-二+般]		
CB00133					[仁-二+張]		
CB00134	3483	㒃			[仁-二+貳]		a03940-001,a03366-010_1
CB00135	511E	儞			[仁-二+爾]	你	a00124-005
CB00136	5116	儖			[仁-二+監]		c00327-001
CB00137	5128	儨			[仁-二+質]		c00345-001
CB00138	50FC	僼			[仁-二+豊]		c00368-001
CB00139					[冗-几+(一/豖)]	冢	a00307-004
CB00140	74EB	瓫			[分/瓦]	盆	a02739-001
CB00141	5302	匂			[句-口+匕]		a00410-010,a03527-012,a00009-008_1
CB00142	2DBA8	𭮨			[厄*殳]		
CB00143			5963	奣	[夭/明]		
CB00144			3779	㝹	[少/免]		c15675-001
CB00145	3779	㝹			[少/兔]		c15675-008
CB00146					[幻-ㄠ+糸]		
CB00147	6239	戹			[戶@乙]		a00459-006
CB00148	9CF8	鳸			[戶@鳥]	雇	a04456-001
CB00149	65A6	斦			[斤*斤]		c04731
CB00150	661E	昞			[日*丙]		b01542-001,b01522-002,a02396-001
CB00151	6648	晈			[日*交]	皎	a02728-002
CB00152	6667	晧			[日*告]	皓	a02730-001
CB00153	668E	暎			[日*英]	映	a01789-001
CB00154	66E2	曢			[日*寮]		
CB00155			5190	冐	[曰/月]		a00299-001,a03312-003,a00300-004
CB00156	6630	昰			[曰/正]		a01791-001
CB00157	8193	膓			[殤-歹+月]	腸	a03347-006
CB00158	80A7	肧			[月*不]	胚	a03310-002
CB00159	80AC	肬			[月*尤]	疣	b02742-001
CB00160	8109	脉			[月*永]	脈	a03328-001
CB00161	8103	脃			[月*色]	脆	a03325-006
CB00162	43F2	䏲			[月*弟]		n00283
CB00163	4417	䐗			[月*者]		a03296-001
CB00164	4414	䐔			[月*扁]		c10979
CB00165	8168	腨			[月*耑]		c11006
CB00166	267DB	𦟛			[月*庸]	傭	a00225-003
CB00167	8196	膖			[月*逢]		c10911-001
CB00168	81C8	臈			[月*葛]		a03379-003,c11120
CB00169	8107	脇			[月*劦]	脅	a03322-001
CB00170	43F6	䏶			[月*坒]	髀	b05873-009
CB00171	816D	腭			[月*咢]	齶	b06324-002
CB00172	444E	䑎			[月*韱]		c11166
CB00174	674A	杊			[木*川]		c05319-001
CB00175	67FE	柾			[木*正]	柩	a01899-007
CB00176	6830	栰			[木*伐]		a03005-001
CB00177	6822	栢			[木*百]	柏	a01907-001
CB00178	3B88	㮈			[木*奈]		c05175
CB00179	6900	椀			[木*宛]	碗	a02844-002
CB00180	6919	椙			[木*昌]		
CB00181	6980	榀			[木*品]		
CB00182	69A2	榢			[木*家]	架	a01896-001
CB00183	69D2	槒			[木*畜]	慉	b01151-001
CB00184	69C5	槅			[木*鬲]		c05286
CB00185	69F5	槵			[木*患]		c05371
CB00186	3BD3	㯓			[木*翕]		a01998-002,c09731-001
CB00187	64C6	擆			[打-丁+著]		c04444
CB00188	6A9D	檝			[木*戢]	楫	a01984-001
CB00189	6AC1	櫁			[木*蜜]		c05280-002
CB00190	3B8F	㮏			[木*柰]		b01670-001
CB00191	239D1	𣧑			[歹*凶]	凶	a00323-002
CB00192	23A60	𣩠			[歹*斯]		b02268-001
CB00193	243D9	𤏙			[火*(而/而)]	暖	b02413-004,a01816-005
CB00194	71FA	燺			[火*(高/木)]	熇	b02416-002
CB00195	70DF	烟			[火*因]	煙	a02420-001
CB00196	70E5	烥			[火*臣]		
CB00197	3DBF	㶿			[火*孛]		c06714
CB00198	3DBC	㶼			[火*矣]		c06725
CB00199	7103	焃			[火*赤]		a03987-004
CB00200	713F	焿			[火*庚]		n00431
CB00201	71A2	熢			[火*逢]	烽	a02411-002
CB00202	71F6	燶			[火*農]		
CB00203	7200	爀			[火*赫]	赫	a03987-001
CB00204	720E	爎			[火*寮]		
CB00205	3E0C	㸌			[火*霍]		c06897,b05594-005
CB00206	7157	煗			[火*耎]	煖	a01816-002
CB00207	242F2	𤋲			[火*苪]	爇	b02449-012
CB00208	2DD71	𭵱			[火*烝]		
CB00209	3DFF	㷿			[火*僉]		c06877
CB00210	706E	灮			[火/儿]	光	a00268-003
CB00211	2463D	𤘽			[牛*句]		c07049-002,c07038
CB00212	4367	䍧			[牛*羊]	牂	b02459-001
CB00213	7287	犇			[牛/牪]	奔	a00862-003
CB00215			7398	玘	[王*巳]		c07367-001
CB00216	73C9	珉			[王*民]	玟	a02557-002
CB00217	2DE41	𭹁			[王*氐]		
CB00218	3EC1	㻁			[王*回]		a02597-002
CB00219	73F9	珹			[王*成]		c07432-001
CB00220	3EC9	㻉			[王*步]		c07436
CB00221	2496D	𤥭			[王*車]		
CB00222	7460	瑠			[王*留]	琉	a02567-001
CB00223	746B	瑫			[王*舀]		c07496
CB00224					[王*梨]		a02575-001
CB00225	749D	璝			[王*貴]		a02597-003
CB00226	74C8	瓈			[王*黎]	璃	a02600-001
CB00227	74CC	瓌			[王*褱]	瑰	a02597-011
CB00228	5E12	帒			[代/巾]	袋	a03722-001
CB00229	6031	怱			[匆/心]	匆	a00409-004
CB00230	5374	却			[去*ㄗ]	卻	a00457-001
CB00231	3C24	㰤			[可*欠]		a00542-001,c05649
CB00232	29476	𩑶			[古*頁]		a03314-001_3
CB00233	22BF5	𢯵			[打-丁+(目*夬)]		c04309
CB00234	643A	携			[打-丁+(隹/乃)]	攜	a01709-001
CB00235	3A11	㨑			[打-丁+(稯-禾)]		c04321
CB00236	6285	抅			[打-丁+勾]	拘	a01547-001
CB00237	22AAD	𢪭			[打-丁+壬]		
CB00238	39CC	㧌			[打-丁+毛]		a01503-001
CB00239	6278	扸			[打-丁+片]		a01887-003,c04135,a01518-008_1
CB00240	6282	抂			[打-丁+王]		c04119
CB00241	62B2	抲			[打-丁+可]		a03492-004
CB00242	62A7	抧			[打-丁+只]		c04155
CB00243	62D5	拕			[打-丁+它]	拖	a01548-001
CB00244	62EA	拪			[打-丁+西]		b01680-001
CB00245	22B43	𢭃			[打-丁+豆]		a02820-008
CB00246	637F	捿			[打-丁+妻]	棲	a01964-001
CB00247	63EC	揬			[打-丁+突]		c04290
CB00248	3A16	㨖			[打-丁+致]		c04301-003
CB00249	3A1D	㨝			[打-丁+屑]		c04356
CB00250	6429	搩			[打-丁+桀]		c04372
CB00251	645A	摚			[打-丁+堂]		c04405
CB00252			647E	摾	[打-丁+強]	弶	b01011-001
CB00253	22D24	𢴤			[打-丁+棠]	撐	a01664-001
CB00254	3A49	㩉			[打-丁+翕]		c04679-001_1
CB00255	650A	攊			[打-丁+歷]	擽	b01443-001
CB00256	651E	攞			[打-丁+羅]		c04530
CB00257	39CA	㧊			[打-丁+巿]		c04120-003
CB00258	87C1	蟁			[民/(虫*虫)]	蚊	a03617-006
CB00259	7567	畧			[田/各]	略	a02646-001
CB00260	7683	皃			[白/儿]		a03925-003
CB00261					[目*尤]		
CB00262	7724	眤			[目*尼]		b02869-002,b01535-002,c08485-002
CB00263	251D2	𥇒			[目*妾]	睫	a02779-004
CB00264	777A	睺			[目*侯]		c08427
CB00265	77DD	矝			[矛*令]	矜	a02815-001
CB00266	77DF	矟			[矛*肖]	槊	b01809-003
CB00267	408E	䂎			[矛*贊]		c08638-003
CB00268					[石*((王*巨)/木)]		
CB00269	7930	礰			[石*歷]		b03019-001
CB00270	79A3	禣			[示*尃]		
CB00271	79D4	秔			[禾*亢]	粳	a03063-001
CB00272	4165	䅥			[禾*曷]		c09143
CB00273	258EF	𥣯			[禾*憂]		c09238
CB00274	7AB0	窰			[穴/(徭-彳)]	窯	a02970-002
CB00275	7A93	窓			[穴/ㄙ/心]	窗	a02964-004
CB00276	7A7D	穽			[穴/井]	阱	a04405-002
CB00277	7ADB	竛			[立*令]		n00208
CB00278	7ADD	竝			[立*立]	並	a00018-003
CB00279	25A73	𥩳			[立*寺]		a01283-001
CB00280	7ADA	竚			[立*宁]	佇	a00106-003
CB00281	7AF0	竰			[立*厘]		
CB00282	7AD2	竒			[立/(可-一)]	奇	a00859-001
CB00283	52B9	効			[交*力]	效	a01722-001
CB00284	6077	恷			[休/心]		
CB00285	51ED	凭			[任/几]	憑	a01443-002
CB00286	4E2A	个			[企-止+〡]	個	a00190-001
CB00287	51B2	冲			[冰-水+中]	沖	a03705-004
CB00288	51B5	况			[冰-水+兄]	況	a02173-002
CB00289	51C9	凉			[冰-水+京]	涼	a02215-001
CB00290	98E1	飡			[冰-水+食]	餐	a04601-002
CB00291	80F7	胷			[匈/月]	胸	a03326-010
CB00292	24656	𤙖			[合*牛]		
CB00293	9F04	鼄			[朱/黽]		n00178
CB00294	7C83	粃			[米*比]		b03088-001,a03096-004
CB00295	7CAE	粮			[米*良]	糧	a03077-002
CB00296	7CE9	糩			[米*會]		c09226-001
CB00297	7D59	絙			[糸*(一/旦)]		b03406-004,c10219
CB00298	7DAB	綫			[糸*戔]	線	a03156-001
CB00299					[羊*(句-口+瓦)]		
CB00300	9D39	鴹			[羊*鳥]		a03238-001
CB00301	264F7	𦓷			[耒*芸]	耘	a03259-002
CB00302	803B	耻			[耳*止]	恥	a01347-001
CB00303	2658B	𦖋			[耳*垂]		c10781
CB00304	26900	𦤀			[自/大]	臭	a03387-003
CB00305	81F0	臰			[自/死]	臭	a03387-001
CB00306	9D44	鵄			[至*鳥]	鴟	c17548-004
CB00307	8265	艥			[舟*戢]	楫	a01984-002
CB00308	9E81	麁			[色-巴+鹿]	麤	b06230-003
CB00309	8675	虵			[虫*也]	蛇	a03624-003
CB00310	86D5	蛕			[虫*有]	蛔	a03636-001,c12266
CB00311	872B	蜫			[虫*昆]		c12283-001
CB00312	8744	蝄			[虫*罔]		c12269-004
CB00313	8739	蜹			[虫*芮]	蚋	b04227-001
CB00314	8842	衂			[血*刃]	衄	b04454-003
CB00315	34DF	㓟			[利-禾+皮]		c00549
CB00317	5257	剗			[利-禾+戔]	鏟	a00371-001
CB00318	69D1	槑			[呆*呆]	梅	a01947-003
CB00319	5E2C	帬			[君/巾]	裙	a03728-002
CB00320	7FA3	羣			[君/羊]	群	a03225-002
CB00321	707E	灾			[宋-木+火]	災	a02387-002
CB00322	21A7A	𡩺			[宋-木+悟]	寣	c02521-001
CB00323	21A61	𡩡			[宋-木+索]		a03093-003,c02512
CB00324					[宋-木+巢]		
CB00327	5EFB	廻			[廷-壬+回]	迴	a04132-001
CB00328	9D5E	鵞			[我/鳥]	鵝	a04732-004
CB00329	6542	敂			[改-己+句]	叩	a00486-002
CB00330	52C5	勅			[束*力]	敕	b01471-002
CB00331	235E5	𣗥			[束*束]	棘	a01955-001
CB00332	983C	頼			[束*頁]	賴	a03971-002
CB00333	72B2	犲			[狂-王+才]	豺	a03919-001
CB00334	3E62	㹢			[狂-王+加]		c07267-001
CB00335	24759	𤝙			[狂-王+巨]	駏	b05782-001,c07173
CB00336	72E2	狢			[狂-王+各]	貉	a03923-001
CB00337	732A	猪			[狂-王+者]	豬	a03917-002
CB00338	7328	猨			[狂-王+爰]	猿	a02535-002
CB00339	732B	猫			[狂-王+苗]	貓	a03926-001
CB00340	24863	𤡣			[狂-王+虛]	驉	b05856-001
CB00341	2488C	𤢌			[狂-王+禽]		c07284-001
CB00342	248D3	𤣓			[狂-王+瞿]	玃	b02588-001
CB00343	294BA	𩒺			[甫*頁]		
CB00344	8A90	誐			[言*我]		c13137
CB00345	8AE9	諩			[言*並]	譜	a03883-001
CB00346	8AB3	誳			[言*屈]		b04650-001
CB00347	8B0C	謌			[言*哥]	歌	a02061-004
CB00348	8B1F	謟			[言*舀]		b01159-003
CB00349	27B1C	𧬜			[言*斯]		c13286-002
CB00351	8B3F	謿			[言*朝]	嘲	a00678-001
CB00352	4716	䜖			[言*賈]	譚	a03886-002
CB00353	8B81	讁			[言*適]	謫	b04717-002
CB00354	8B87	讇			[言*閻]	諂	a03853-001
CB00355	8B9B	讛			[言*藝]	囈	a00719-001
CB00356	3AB7	㪷			[豆*斗]	斗	a01746-002
CB00357	8CD6	賖			[貝*余]	賒	a03960-001
CB00358	8FB5	辵			[足-口+(彰-章)]		c14350
CB00359	8EAE	躮			[身*分]		
CB00360	8EB6	躶			[身*果]	裸	a03739-003
CB00361	8EAD	躭			[身*冘]	耽	a03266-003
CB00362	8EC6	軆			[身*豊]	體	a04666-003
CB00363	282B0	𨊰			[車*乞]		
CB00364	8F19	輙			[車*取]	輒	a04077-001
CB00365	8F2D	輭			[車*耎]		a04068-004
CB00366	8ECE	軎			[車/口]		c18458
CB00367	918E	醎			[酉*咸]		a04749-001
CB00368	28924	𨤤			[里*也]		
CB00369	7CFA	糺			[乳-孚+糸]	糾	a03081-003
CB00370	866C	虬			[乳-孚+虫]		b04210-001,c12196-001
CB00371	200F5	𠃵			[乳-孚+卓]	乾	a00044-007
CB00372	9D76	鵶			[亞*鳥]	鴉	a04722-003
CB00373	89A5	覥			[典*見]	靦	a04507-005
CB00374	52B5	劵			[券-刀+力]		a00173-001
CB00375	9847	顇			[卒*頁]	悴	a01367-002
CB00376	4ACC	䫌			[卑*頁]		c16172
CB00377	52CC	勌			[卷*力]		a00173-019_1,a00404-002
CB00378	60D2	惒			[和/心]	和	a00556-002
CB00379			79F0	称	[禾*(乞-乙+小)]	稱	
CB00380	5C14	尔			[妳-女]	尒	a02477-010
CB00381	7DDC	緜			[帛*系]	綿	a03141-001
CB00382	616F	慯			[怡-台+(殤-歹)]		c03892-003
CB00383	6060	恠			[怡-台+在]	怪	a01325-003
CB00384	60A7	悧			[怡-台+利]	俐	a00163-001
CB00385	608B	悋			[怡-台+吝]	吝	a00514-008
CB00386	609E	悞			[怡-台+吳]	誤	a03838-002
CB00387	22684	𢚄			[怡-台+牢]		a00396-023_1
CB00388	607E	恾			[怡-台+芒]		a01307-003,c03701
CB00389	2272A	𢜪			[怡-台+若]		a01405-007,c03792
CB00390	6135	愵			[怡-台+弱]		b01136-001
CB00391	6131	愱			[怡-台+疾]		a00955-001
CB00392	6160	慠			[怡-台+敖]	傲	a00227-006_1
CB00393	6198	憘			[怡-台+喜]		a00628-008,n00040-001
CB00394	619C	憜			[怡-台+隋]	惰	a01390-001
CB00395	22931	𢤱			[怡-台+龍]		c04007
CB00396	604A	恊			[怡-台+劦]		a00438-004
CB00397	613D	愽			[怡-台+尃]	博	a00442-002
CB00398	9D7E	鵾			[昆*鳥]	鶤	b06118-002
CB00399					[果/衣]	裹	a03738-003
CB00400	23F48	𣽈			[泳-永+(而/而)]	濡	a02362-003
CB00401	6E7C	湼			[泳-永+(臼/工)]	涅	b02111-002
CB00402	704B	灋			[泳-永+(廌/去)]	法	a02168-007
CB00403	3CC2	㳂			[泳-永+公]	沿	a02178-001
CB00404	23DFD	𣷽			[泳-永+侵]	浸	a02204-013
CB00405	6F04	漄			[泳-永+崖]	涯	a02227-001
CB00406	6F44	潄			[泳-永+敕]	漱	a02312-001
CB00408	2DCC9	𭳉			[泳-永+寞]		
CB00409	705C	灜			[泳-永+贏]	瀛	a02370-009
CB00410	57FF	埿			[泥/土]	泥	a02161-002
CB00412	60E3	惣			[物/心]	總	a03172-005
CB00413	60B3	悳			[直/心]	德	a01302-009
CB00414	805F	聟			[知/耳]	婿	a00951-005
CB00415	41F7	䇷			[竺-二+別]		c09581-001
CB00416			7B92	箒	[竺-二+帚]	帚	a01166-001
CB00417	7BC5	篅			[竺-二+耑]		c09684
CB00418	89A9	覩			[者*見]	睹	a02783-001
CB00419	8218	舘			[舍*官]	館	a04602-001
CB00420	90A8	邨			[邱-丘+屯]	村	a01867-002
CB00421	460F	䘏			[邱-丘+血]	卹	a00456-001
CB00422	913D	鄽			[邱-丘+廛]	廛	b00986-004
CB00423	91F2	釲			[金*巳]		c14851
CB00424	920E	鈎			[金*勾]	鉤	a04285-001
CB00425	9262	鉢			[金*本]	缽	a03198-002
CB00426	28968	𨥨			[金*矛]	矛	a02814-002
CB00427	92DC	鋜			[金*足]		a04339-011
CB00428	936E	鍮			[金*俞]		c15037-004
CB00429	938B	鎋			[金*害]		a04090-001_1,b03745-004
CB00430	93C1	鏁			[金*巢]	鎖	a04332-002
CB00431	9425	鐥			[金*善]		b05281-003
CB00432	945B	鑛			[金*廣]	礦	a02873-007
CB00433	9353	鍓			[金*咠]	鏶	c15130-001
CB00434	95A6	閦			[門@(人/(人*人))]		c15289-002
CB00435	95D8	闘			[門@(豆*寸)]	鬥	a04678-001
CB00436	9599	閙			[門@市]	鬧	a04679-002
CB00437	28D57	𨵗			[門@卦]	闕	b05508-002
CB00438	28D66	𨵦			[門@俞]		c15336-001
CB00439	49B1	䦱			[門@為]		c15331-002
CB00440	28DB3	𨶳			[門@視]		a02972-005,b05512-001
CB00441	28DF2	𨷲			[門@龠]		a04364-006
CB00442	9641	陁			[阿-可+(施-方)]		a04407-002,b05521-001
CB00443	967F	陿			[阿-可+(匚@夾)]	陜	b05538-002
CB00444	96A3	隣			[阿-可+(嶙-山)]	鄰	a04220-002
CB00445	28ED7	𨻗			[阿-可+桑]		
CB00446	969F	隟			[阿-可+巢]	隙	a04440-005
CB00447	96A5	隥			[阿-可+登]	磴	a02868-001
CB00448	28F41	𨽁			[阿-可+聚]	陬	b05542-001
CB00449	9714	霔			[雨/注]	澍	b02266-003
CB00450	4A25	䨥			[雨/隻]		a04463-023,c15635
CB00451	2A08F	𪂏			[非/鳥]		c17644-002
CB00452	2CF53	𬽓			[亭*也]		
CB00453	732E	献			[南*犬]	獻	a02548-001
CB00454					[南/無]		
CB00455	99DE	駞			[施-方+馬]	駝	a04626-001
CB00456	5303	匃			[曷-曰]		a00410-009,a00009-002
CB00457	6C37	氷			[洗-冼+水]	冰	a00309-003
CB00458	5C20	尠			[甚*少]	尟	b00762-001
CB00459	263A8	𦎨			[眉*羊]		
CB00460	5C2B	尫			[虺-虫+王]	尪	b00764-001
CB00461	9764	靤			[面*包]	皰	a02733-006
CB00462	9795	鞕			[革*更]		c15814
CB00463	4A6D	䩭			[革*奇]	羈	a03214-011
CB00464	97B8	鞸			[革*畢]		c18467-001
CB00465	4CEC	䳬			[革*鳥]	鷊	b06143-006
CB00466	97BE	鞾			[革*華]	靴	a04510-002
CB00467	97C8	韈			[革*蔑]	襪	a03759-015
CB00468	4A55	䩕			[革*卬]		c15783
CB00469	97DB	韛			[糒-米+韋]		n00400-010
CB00470	9DC4	鷄			[奚*鳥]	雞	a04465-001
CB00471	5C57	屗			[屘-子+寸]		
CB00472	57C8	埈			[峻-山+土]	峻	a01116-046
CB00473	7740	着			[差-工+目]	著	a03506-003
CB00474	7575	畵			[書-曰+(凵@田)]	畫	a02650-006
CB00475	70D6	烖			[栽-木+火]	災	a02387-009
CB00476	24E03	𤸃			[病-丙+((宋-木)/火/又)]	瘦	a02701-003
CB00477			3F97	㾗	[病-丙+(一/艮)]	痕	a02676-002
CB00478	24E99	𤺙			[病-丙+(止/(止*止))]		a01394-026
CB00479	24D7F	𤵿			[病-丙+(陋-(阿-可))]	瘺	b02796-003
CB00480	24E0C	𤸌			[病-丙+(企-止+(套-大))]		c07995-002
CB00481	75B1	疱			[病-丙+包]		a02733-001_1
CB00482	75C6	痆			[病-丙+尼]		c07838
CB00483	75C3	痃			[病-丙+玄]		c07834
CB00484	7602	瘂			[病-丙+亞]	啞	a00604-002
CB00485	763B	瘻			[病-丙+婁]	瘺	b02796-001
CB00486	764A	癊			[病-丙+陰]		c07995
CB00487	7640	癀			[病-丙+黃]		c08013
CB00488	24EE7	𤻧			[病-丙+槃]	瘢	b02788-001
CB00489	24EF2	𤻲			[病-丙+樂]	療	a02706-001
CB00490	24EF7	𤻷			[病-丙+盤]		c08059
CB00491	766F	癯			[病-丙+瞿]	臞	b03729-001
CB00492	24F23	𤼣			[病-丙+戀]	癵	b02814-003
CB00493	98E4	飤			[飢-几+人]	飼	a04589-001,c18468
CB00494	2969B	𩚛			[飢-几+內]		c16385-001
CB00495	991C	餜			[飢-几+果]		n00089
CB00496	991D	餝			[飢-几+芳]		a04588-001_1,a04592-003
CB00497	993B	餻			[飢-几+羔]	糕	a03069-001
CB00498	994D	饍			[飢-几+善]	膳	a03365-006
CB00499	99C4	駄			[馬*太]	馱	a04623-002
CB00500	99BC	馼			[馬*文]		a04621-006
CB00501	4B7E	䭾			[馬*犬]	馱	a04623-001
CB00502	99C8	駈			[馬*丘]	驅	a04645-004
CB00503	99DA	駚			[馬*央]		c16619
CB00504	9A0C	騌			[馬*宗]	騣	b05827-001
CB00505	299A0	𩦠			[馬*剽]		c16768
CB00506	69C0	槀			[高/木]	槁	a01992-001
CB00507	9B2D	鬭			[鬥@(?*斤)]	鬥	a04678-012
CB00508	9B2A	鬪			[鬥@(豆*寸)]	鬥	a04678-005
